id,preference
2403.01954,dislike
2406.07880,dislike
2410.24175,like
2411.14432,neutral
2412.11373,like
2501.14249,like
2502.01563,like
2502.11569,neutral
2502.14010,like
2502.14644,like
2502.14866,dislike
2502.15709,dislike
2502.18036,dislike
2503.01840,neutral
2503.04606,dislike
2503.24235,neutral
2504.10478,neutral
2504.16056,like
2504.16084,like
2504.17768,like
2504.18116,like
2504.19413,like
2504.19483,like
2504.20074,dislike
2504.20834,like
2504.20946,neutral
2504.21023,neutral
2504.21233,like
2504.21318,neutral
2504.21463,like
2504.21814,dislike
2505.00019,dislike
2505.00047,neutral
2505.00127,neutral
2505.00234,like
2505.00926,dislike
2505.01035,neutral
2505.01488,dislike
2505.02686,dislike
2505.03054,dislike
2505.03163,dislike
2505.03229,neutral
